,Product_Description,Product_Ratings,Product_cost
0,"REDMI 9i Sport (Metallic Blue, 64 GB)",4.4,"₹8,799"
1,"REDMI 9i Sport (Coral Green, 64 GB)",4.4,"₹8,799"
2,"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,"₹11,499"
3,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.6,"₹1,289"
4,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,"₹12,499"
5,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹12,499"
6,"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,"₹11,499"
7,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",3.9,"₹1,219"
8,"REDMI 9i Sport (Carbon Black, 64 GB)",4.4,"₹8,799"
9,"POCO C31 (Shadow Gray, 64 GB)",4.4,"₹8,999"
10,"realme Narzo 50i (Mint Green, 32 GB)",4.5,"₹7,499"
11,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.6,₹999
12,"realme Narzo 50i (Carbon Black, 32 GB)",4.5,"₹7,499"
13,"realme C11 2021 (Cool Blue, 32 GB)",4.4,"₹7,499"
14,"realme C11 2021 (Cool Grey, 32 GB)",4.4,"₹7,499"
15,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",2.8,"₹1,219"
16,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,"₹11,499"
17,"realme 8i (Space Black, 64 GB)",4.5,"₹13,999"
18,"realme 8i (Space Purple, 128 GB)",4.4,"₹15,999"
19,IAIR S19,4,"₹1,299"
20,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
21,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
22,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
23,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",4,₹809
